project_id,title,country,climate_bin,typology,massing_type,wwr_band,image_ids,plan_ids,tags,lat,lon
p_as_salam_mosque_archeground_ltd_1030739_diagrams_p_as_salam_mosque_archeground_ltd_1030739,As Salam Mosque Archeground Ltd 1030739 Diagrams P As Salam Mosque Archeground Ltd,unknown,unknown,unknown,unknown,unknown,"['i_p_as_salam_mosque_archeground_ltd_1030739_diagrams_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_diagrams_p_as_salam_mosque_archeground_ltd_1030739_diagram_1', 'i_p_as_salam_mosque_archeground_ltd_1030739_diagrams_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_diagrams_p_as_salam_mosque_archeground_ltd_1030739_diagram_2', 'i_p_as_salam_mosque_archeground_ltd_1030739_diagrams_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_diagrams_p_as_salam_mosque_archeground_ltd_1030739_diagram_3']",[],[],22.6577315,90.91035169999999
p_as_salam_mosque_archeground_ltd_1030739_exteriors_p_as_salam_mosque_archeground_ltd_1030739,As Salam Mosque Archeground Ltd 1030739 Exteriors P As Salam Mosque Archeground Ltd,unknown,unknown,unknown,unknown,unknown,"['i_p_as_salam_mosque_archeground_ltd_1030739_exteriors_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_exteriors_p_as_salam_mosque_archeground_ltd_1030739_exterior_1', 'i_p_as_salam_mosque_archeground_ltd_1030739_exteriors_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_exteriors_p_as_salam_mosque_archeground_ltd_1030739_exterior_2']",[],[],22.6577315,90.91035169999999
p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739,As Salam Mosque Archeground Ltd 1030739 Interiors P As Salam Mosque Archeground Ltd,unknown,unknown,unknown,unknown,unknown,"['i_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_interior_1', 'i_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_interior_2', 'i_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_interior_3', 'i_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_interior_4', 'i_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_interior_5']",[],[],22.6577315,90.91035169999999
p_atipografia_threshold_and_treasure_galle_993445_diagrams_p_atipografia_threshold_and_treasure_galle_993445,Atipografia Threshold And Treasure Galle 993445 Diagrams P Atipografia Threshold And Treasure Galle,unknown,unknown,unknown,unknown,unknown,"['i_p_atipografia_threshold_and_treasure_galle_993445_diagrams_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_diagrams_p_atipografia_threshold_and_treasure_galle_993445_diagram_1', 'i_p_atipografia_threshold_and_treasure_galle_993445_diagrams_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_diagrams_p_atipografia_threshold_and_treasure_galle_993445_diagram_2', 'i_p_atipografia_threshold_and_treasure_galle_993445_diagrams_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_diagrams_p_atipografia_threshold_and_treasure_galle_993445_diagram_3']",[],[],45.5217777,11.3355291
p_atipografia_threshold_and_treasure_galle_993445_exteriors_p_atipografia_threshold_and_treasure_galle_993445,Atipografia Threshold And Treasure Galle 993445 Exteriors P Atipografia Threshold And Treasure Galle,unknown,unknown,unknown,unknown,unknown,"['i_p_atipografia_threshold_and_treasure_galle_993445_exteriors_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_exteriors_p_atipografia_threshold_and_treasure_galle_993445_exterior_1', 'i_p_atipografia_threshold_and_treasure_galle_993445_exteriors_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_exteriors_p_atipografia_threshold_and_treasure_galle_993445_exterior_2', 'i_p_atipografia_threshold_and_treasure_galle_993445_exteriors_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_exteriors_p_atipografia_threshold_and_treasure_galle_993445_exterior_3']",[],[],45.5217777,11.3355291
p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445,Atipografia Threshold And Treasure Galle 993445 Interiors P Atipografia Threshold And Treasure Galle,unknown,unknown,unknown,unknown,unknown,"['i_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_interior_1', 'i_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_interior_2', 'i_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_interior_3', 'i_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_interior_4', 'i_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_interior_5']",[],[],45.5217777,11.3355291
p_barrancos_mortuary_mesa_atelier_1033276_diagrams_p_barrancos_mortuary_mesa_atelier_1033276,Barrancos Mortuary Mesa Atelier 1033276 Diagrams P Barrancos Mortuary Mesa Atelier,unknown,unknown,unknown,unknown,unknown,"['i_p_barrancos_mortuary_mesa_atelier_1033276_diagrams_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_diagrams_p_barrancos_mortuary_mesa_atelier_1033276_diagram_1', 'i_p_barrancos_mortuary_mesa_atelier_1033276_diagrams_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_diagrams_p_barrancos_mortuary_mesa_atelier_1033276_diagram_2', 'i_p_barrancos_mortuary_mesa_atelier_1033276_diagrams_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_diagrams_p_barrancos_mortuary_mesa_atelier_1033276_diagram_3']",[],[],38.1328809,-6.977312599999999
p_barrancos_mortuary_mesa_atelier_1033276_exteriors_p_barrancos_mortuary_mesa_atelier_1033276,Barrancos Mortuary Mesa Atelier 1033276 Exteriors P Barrancos Mortuary Mesa Atelier,unknown,unknown,unknown,unknown,unknown,"['i_p_barrancos_mortuary_mesa_atelier_1033276_exteriors_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_exteriors_p_barrancos_mortuary_mesa_atelier_1033276_exterior_1', 'i_p_barrancos_mortuary_mesa_atelier_1033276_exteriors_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_exteriors_p_barrancos_mortuary_mesa_atelier_1033276_exterior_2']",[],[],38.1328809,-6.977312599999999
p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276,Barrancos Mortuary Mesa Atelier 1033276 Interiors P Barrancos Mortuary Mesa Atelier,unknown,unknown,unknown,unknown,unknown,"['i_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_interior_1', 'i_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_interior_2', 'i_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_interior_3', 'i_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_interior_4', 'i_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_interior_5']",[],[],38.1328809,-6.977312599999999
p_basilica_di_massenzio_exhibition_pathway_1035088_diagrams_p_basilica_di_massenzio_exhibition_pathway_1035088,Basilica Di Massenzio Exhibition Pathway 1035088 Diagrams P Basilica Di Massenzio Exhibition Pathway,unknown,unknown,unknown,unknown,unknown,['i_p_basilica_di_massenzio_exhibition_pathway_1035088_diagrams_p_basilica_di_massenzio_exhibition_pathway_1035088_p_basilica_di_massenzio_exhibition_pathway_1035088_diagrams_p_basilica_di_massenzio_exhibition_pathway_1035088_diagram_1'],[],[],41.8967068,12.4822025
